31,false,1, Manuel E Uruchurtu,male,40.0,0,0,PC 17601,27.7208,-1,C
35,false,1, Edgar Joseph Meyer,male,28.0,1,0,PC 17604,82.1708,-1,C
55,false,1, Engelhart Cornelius Ostby,male,65.0,0,1,113509,61.9792,B30,C
65,false,1, Albert A Stewart,male,-1.0,0,0,PC 17605,27.7208,-1,C
97,false,1, George B Goldschmidt,male,71.0,0,0,PC 17754,34.6542,A5,C
98,true,1, William Bertram Greenfield,male,23.0,0,1,PC 17759,63.3583,D10 D12,C
119,false,1, Quigg Edmond Baxter,male,24.0,0,1,PC 17558,247.5208,B58 B60,C
140,false,1, Victor Giglio,male,24.0,0,0,PC 17593,79.2,B86,C
156,false,1, Charles Duane Williams,male,51.0,0,1,PC 17597,61.3792,-1,C
175,false,1, James Clinch Smith,male,56.0,0,0,17764,30.6958,A7,C
210,true,1, Henry Blank,male,40.0,0,0,112277,31.0,A31,C
274,false,1, Charles H Natsch,male,37.0,0,1,PC 17596,29.7,C118,C
296,false,1, Ervin G Lewy,male,-1.0,0,0,PC 17612,27.7208,-1,C
371,true,1, George Achilles Harder,male,25.0,1,0,11765,55.4417,E50,C
374,false,1, Sante Ringhini,male,22.0,0,0,PC 17760,135.6333,-1,C
378,false,1, Harry Elkins Widener,male,27.0,0,2,113503,211.5,C82,C
453,false,1, Benjamin Laventall Foreman,male,30.0,0,0,113051,27.75,C111,C
454,true,1, Samuel L Goldenberg,male,49.0,1,0,17453,89.1042,C92,C
485,true,1, Dickinson H Bishop,male,25.0,1,0,11967,91.0792,B49,C
488,false,1, Edward Austin Kent,male,58.0,0,0,11771,29.7,B37,C
494,false,1, Ramon Artagaveytia,male,71.0,0,0,PC 17609,49.5042,-1,C
506,false,1, Victor de Satode Penasco y Castellana,male,18.0,1,0,PC 17758,108.9,C65,C
545,false,1, Walter Donald Douglas,male,50.0,1,0,PC 17761,106.425,C86,C
551,true,1, John Borland Jr Thayer,male,17.0,0,2,17421,110.8833,C70,C
558,false,1, Victor Robbins,male,-1.0,0,0,PC 17757,227.525,-1,C
584,false,1, John Hugo Ross,male,36.0,0,0,13049,40.125,A10,C
588,true,1, Maxmillian Frolicher-Stehli,male,60.0,1,1,13567,79.2,B41,C
600,true,1, Cosmo Edmund (""Mr Morgan"") Duff Gordon,male,49.0,1,0,PC 17485,56.9292,A20,C
605,true,1, Harry (""Mr E Haven"") Homer,male,35.0,0,0,111426,26.55,-1,C
633,true,1, Max Stahelin-Maeglin,male,32.0,0,0,13214,30.5,B50,C
646,true,1, Henry Sleeper Harper,male,48.0,1,0,PC 17572,76.7292,D33,C
648,true,1, Oberst Alfons Simonius-Blumer,male,56.0,0,0,13213,35.5,A26,C
660,false,1, Arthur Webster Newell,male,58.0,0,2,35273,113.275,D48,C
680,true,1, Thomas Drake Martinez Cardeza,male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C
682,true,1, Hammad Hassab,male,27.0,0,0,PC 17572,76.7292,D49,C
699,false,1, John Borland Thayer,male,49.0,1,1,17421,110.8833,C68,C
738,true,1, Gustave J Lesurer,male,35.0,0,0,PC 17755,512.3292,B101,C
767,false,1, Arthur Jackson Brewe,male,-1.0,0,0,112379,39.6,-1,C
790,false,1, Benjamin Guggenheim,male,46.0,0,0,PC 17593,79.2,B82 B84,C
794,false,1, William Fisher Hoyt,male,-1.0,0,0,PC 17600,30.6958,-1,C
840,true,1, Pierre Marechal,male,-1.0,0,0,11774,29.7,C47,C
890,true,1, Karl Howell Behr,male,26.0,0,0,111369,30.0,C148,C
